Processor Model (Speed Brand)
Name,Attack,Defense,Speed,Special,Generation,Total,Average,+Diff
CPU Model 1,1,1,2,1,1,5,1.25,0.00%
CPU Model 2,2,1,2,1,1,6,1.5,20.00%
CPU Model 3,3,2,2,1,1,8,2,33.33%
CPU Model 4,3,3,3,2,2,11,2.75,37.50%
CPU Model 5,3,3,5,2,2,13,3.25,18.18%
CPU Model 6,4,3,6,3,2,16,4,23.08%
CPU Model 7,5,3,9,4,3,21,5.25,31.25%
CPU Model 8,6,4,10,4,3,24,6,14.29%
CPU Model 9,7,5,12,4,3,28,7,16.67%
CPU Model 10,10,7,15,5,4,37,9.25,32.14%

Processor Model (Attack Brand)
Name,Attack,Defense,Speed,Special,Generation,Total,Average,+Diff
CPU Model 1,2,1,1,1,1,5,1.25,0.00%
CPU Model 2,2,1,1,2,1,6,1.5,20.00%
CPU Model 3,3,2,1,2,1,8,2,33.33%
CPU Model 4,4,2,2,3,2,11,2.75,37.50%
CPU Model 5,4,2,2,4,2,12,3,9.09%
CPU Model 6,5,2,2,5,2,14,3.5,16.67%
CPU Model 7,7,4,3,6,3,20,5,42.86%
CPU Model 8,9,5,5,6,3,25,6.25,25.00%
CPU Model 9,10,5,5,8,3,28,7,12.00%
CPU Model 10,15,9,6,10,4,40,10,42.86%

Processor Model (Defense Brand)
Name,Attack,Defense,Speed,Special,Generation,Total,Average,+Diff
CPU Model 1,1,2,1,1,1,5,1.25,0.00%
CPU Model 2,1,2,2,1,1,6,1.5,20.00%
CPU Model 3,2,3,2,1,1,8,2,33.33%
CPU Model 4,2,6,2,1,2,11,2.75,37.50%
CPU Model 5,3,6,2,2,2,13,3.25,18.18%
CPU Model 6,3,7,2,3,2,15,3.75,15.38%
CPU Model 7,4,9,3,4,3,20,5,33.33%
CPU Model 8,6,10,3,4,3,23,5.75,15.00%
CPU Model 9,8,10,5,5,3,28,7,21.74%
CPU Model 10,9,15,6,8,4,38,9.5,35.71%
