Storage Models (Balanced Brand)
Name,Health,Attack,Defense,Special,Generation,Total,Average,+Diff
Model 1,5,1,1,1,1,4,1,0.00%
Model 2,10,2,2,2,1,8,2,100.00%
Model 3,15,3,3,3,1,12,3,50.00%
Model 4,20,4,4,4,2,16,4,33.33%
Model 5,25,5,5,5,2,20,5,25.00%
Model 6,30,6,6,6,2,24,6,20.00%
Model 7,35,7,7,7,3,28,7,16.67%
Model 8,40,8,8,8,3,32,8,14.29%
Model 9,45,9,9,9,3,36,9,12.50%
Model 10,50,10,10,10,4,40,10,11.11%

Storage Models (Attack Brand)
Name,Health,Attack,Defense,Special,Generation,Total,Average,+Diff
Model 1,5,2,1,1,1,5,1.25,0.00%
Model 2,5,3,1,1,1,6,1.5,20.00%
Model 3,5,4,2,1,1,8,2,33.33%
Model 4,10,4,2,1,2,9,2.25,12.50%
Model 5,10,5,2,2,2,11,2.75,22.22%
Model 6,15,5,3,2,2,13,3.25,18.18%
Model 7,15,7,4,3,3,17,4.25,30.77%
Model 8,20,9,5,4,3,22,5.5,29.41%
Model 9,25,10,7,7,3,29,7.25,31.82%
Model 10,40,15,8,7,6,38,9.5,31.03%
